181019-181102	+		181102-181112	-		181112-181119	+		181119-181127	-		181127-181203	+		181203-181210	-		181210-181225	*		181019-181225	#2		
广告包装	6.82	m	建材	0.03	m	通信设备	3.3	m	建材	-5.5	m	综合类	2.61	m	房地产	-3.18	m	商贸代理	-4.0	m	纺织服饰	2.23	m	
传媒娱乐	6.35	m	电力	-0.18	m	元器件	3.25	m	纺织服饰	-5.65	m	交通设施	2.6	m	汽车类	-3.36	m	综合类	-4.0	m	工程机械	2.22	m	
商业连锁	6.29	m	化工	-0.23	m	家用电器	3.21	m	商贸代理	-6.08	m	电力	2.59	m	公共交通	-3.51	m	沪深300	-4.05	0	医疗保健	1.63	m	
建筑	6.08	m	化纤	-0.46	m	商业连锁	3.06	m	软件服务	-6.13	m	建筑	2.58	m	酒店餐饮	-3.52	m	工业机械	-4.08	m	供气供热	1.55	m	
建材	5.97	m	食品饮料	-0.46	m	有色	3.0	m	房地产	-6.24	m	环境保护	2.43	m	商业连锁	-3.56	m	化纤	-4.11	m	航空	1.11	m	
化工	5.49	m	有色	-1.0	m	船舶	2.98	m	IT设备	-6.3	m	矿物制品	2.39	m	沪深300	-3.56	0	纺织服饰	-4.14	m	建材	0.96	m	
钢铁	5.47	m	仓储物流	-1.05	m	运输服务	2.95	m	互联网	-6.35	m	建材	2.38	m	通信设备	-3.67	m	商业连锁	-4.24	m	汽车类	0.95	m	
交通设施	5.42	m	家用电器	-1.18	m	沪深300	2.79	0	供气供热	-6.4	m	银行	2.36	m	酿酒	-3.71	m	建材	-4.29	m	元器件	0.8	m	
IT设备	5.28	m	运输设备	-1.25	m	化纤	2.78	m	酒店餐饮	-6.43	m	传媒娱乐	2.34	m	家居用品	-3.89	m	造纸	-4.45	m	交通设施	0.35	m	
纺织服饰	4.98	m	航空	-1.31	m	电信运营	2.71	m	有色	-6.59	m	航空	2.29	m	综合类	-3.98	m	化工	-4.58	m	IT设备	0.33	m	
沪深300	4.95	0	建筑	-1.35	m	化工	2.69	m	化工	-6.6	m	软件服务	2.24	m	证券	-4.0	m	钢铁	-4.71	m	化纤	-0.99	m	
船舶	4.9	m	交通设施	-1.49	m	旅游	2.66	m	电信运营	-6.65	m	互联网	2.24	m	矿物制品	-4.05	m	环境保护	-4.82	m	商业连锁	-1.17	m	
煤炭	4.53	m	煤炭	-1.52	m	电力	2.5	m	化纤	-6.67	m	船舶	2.14	m	元器件	-4.09	m	仓储物流	-4.82	m	化工	-1.82	m	
工程机械	4.44	m	运输服务	-1.74	m	工程机械	2.31	m	综合类	-6.76	m	文教休闲	2.02	m	电信运营	-4.16	m	保险	-4.82	m	家用电器	-3.31	m	
汽车类	3.89	mm	旅游	-1.75	m	保险	2.26	mm	元器件	-7.11	mm	商业连锁	1.94	mm	航空	-4.59	mm	半导体	-4.85	mm	食品饮料	-3.64	m	
供气供热	3.85	mm	石油	-1.93	m	食品饮料	2.21	mm	环境保护	-7.37	mm	IT设备	1.7	mm	多元金融	-4.74	mm	煤炭	-4.87	mm	沪深300	-3.75	0	
电力	3.84	mm	钢铁	-2.01	m	医疗保健	2.19	mm	煤炭	-7.4	mm	多元金融	1.67	mm	商贸代理	-4.85	mm	石油	-4.87	mm	医药	-5.04	mm	
仓储物流	3.75	mm	证券	-2.1	m	运输设备	1.63	mm	造纸	-7.56	mm	广告包装	1.29	mm	保险	-4.86	mm	通用机械	-4.9	mm	银行	-5.66	mm	
银行	3.56	mm	酒店餐饮	-2.15	m	医药	1.55	mm	家居用品	-8.23	mm	房地产	1.02	mm	医疗保健	-5.14	mm	矿物制品	-4.91	mm	煤炭	-6.55	mm	
保险	3.28	mm	沪深300	-2.59	0	钢铁	1.18	mm	多元金融	-8.3	mm	水务	0.87	mm	IT设备	-5.17	mm	互联网	-5.0	mm	仓储物流	-6.73	mm	
家用电器	3.25	mm	传媒娱乐	-2.83	mm	汽车类	1.13	mm	证券	-8.47	mm	仓储物流	0.81	mm	仓储物流	-5.47	mm	证券	-6.73	mm	钢铁	-9.24	mm	
石油	-1.43	mm	保险	-4.41	mm	煤炭	1.09	mm	矿物制品	-8.87	mm	钢铁	0.65	mm	电器仪表	-5.89	mm	医药	-6.78	mm	保险	-10.22	mm	
食品饮料	-2.41	mm	银行	-4.49	mm	银行	1.09	mm	钢铁	-8.94	mm	公共交通	-0.65	mm	家用电器	-6.52	mm	供气供热	-6.82	mm	石油	-13.06	mm	
酿酒	-9.44	mm	酿酒	-6.4	mm	石油	-1.67	mm	电器仪表	-9.43	mm	供气供热	-0.88	mm	医药	-7.26	mm	医疗保健	-7.25	mm	酿酒	-13.44	mm	
