181019-181102	+		181102-181112	-		181112-181119	+		181119-181127	-		181127-181203	+		181203-181210	-		181210-181225	*		181019-181225	#2		
IT设备	5.28		运输设备	-1.25		化纤	2.78		酒店餐饮	-6.43		传媒娱乐	2.34		家居用品	-3.89		造纸	-4.45		交通设施	0.35		
纺织服饰	4.98		航空	-1.31		电信运营	2.71		有色	-6.59		航空	2.29		综合类	-3.98		化工	-4.58		IT设备	0.33		
沪深300	4.95		建筑	-1.35		化工	2.69		化工	-6.6		软件服务	2.24		证券	-4.0		钢铁	-4.71		化纤	-0.99		
船舶	4.9		交通设施	-1.49		旅游	2.66		电信运营	-6.65		互联网	2.24		矿物制品	-4.05		环境保护	-4.82		商业连锁	-1.17		
煤炭	4.53		煤炭	-1.52		电力	2.5		化纤	-6.67		船舶	2.14		元器件	-4.09		仓储物流	-4.82		化工	-1.82		
工程机械	4.44		运输服务	-1.74		工程机械	2.31		综合类	-6.76		文教休闲	2.02		电信运营	-4.16		保险	-4.82		家用电器	-3.31		
汽车类	3.89		旅游	-1.75		保险	2.26		元器件	-7.11		商业连锁	1.94		航空	-4.59		半导体	-4.85		食品饮料	-3.64		
供气供热	3.85		石油	-1.93		食品饮料	2.21		环境保护	-7.37		IT设备	1.7		多元金融	-4.74		煤炭	-4.87		沪深300	-3.75		
电力	3.84		钢铁	-2.01		医疗保健	2.19		煤炭	-7.4		多元金融	1.67		商贸代理	-4.85		石油	-4.87		医药	-5.04		
仓储物流	3.75		证券	-2.1		运输设备	1.63		造纸	-7.56		广告包装	1.29		保险	-4.86		通用机械	-4.9		银行	-5.66		
银行	3.56		酒店餐饮	-2.15		医药	1.55		家居用品	-8.23		房地产	1.02		医疗保健	-5.14		矿物制品	-4.91		煤炭	-6.55		
保险	3.28		沪深300	-2.59		钢铁	1.18		多元金融	-8.3		水务	0.87		IT设备	-5.17		互联网	-5.0		仓储物流	-6.73		
家用电器	3.25		传媒娱乐	-2.83		汽车类	1.13		证券	-8.47		仓储物流	0.81		仓储物流	-5.47		证券	-6.73		钢铁	-9.24		
石油	-1.43		保险	-4.41		煤炭	1.09		矿物制品	-8.87		钢铁	0.65		电器仪表	-5.89		医药	-6.78		保险	-10.22		
食品饮料	-2.41		银行	-4.49		银行	1.09		钢铁	-8.94		公共交通	-0.65		家用电器	-6.52		供气供热	-6.82		石油	-13.06		
酿酒	-9.44		酿酒	-6.4		石油	-1.67		电器仪表	-9.43		供气供热	-0.88		医药	-7.26		医疗保健	-7.25		酿酒	-13.44		
