160801-160816	+		160816-160825	-		160825-160907	+		160907-160927	-		160927-161024	+		161024-161031	-		161031-161129	+		161129-161226	-		160801-161226	#2		
电器仪表	4.84		IT设备	-1.43		汽车类	0.66		元器件	-3.56		环境保护	4.05		互联网	-1.45		互联网	2.35		工业机械	-6.0		银行	3.11		
农林牧渔	4.74		半导体	-1.53		运输设备	0.53		文教休闲	-3.58		石油	3.96		造纸	-1.46		酿酒	2.06		传媒娱乐	-6.12		商贸代理	3.02		
造纸	4.55		仓储物流	-1.65		酒店餐饮	0.37		农林牧渔	-4.01		矿物制品	3.93		综合类	-1.49		农林牧渔	2.0		食品饮料	-6.59		日用化工	2.88		
纺织服饰	4.54		运输设备	-1.69		多元金融	0.14		软件服务	-4.05		沪深300	3.91		通用机械	-1.76		医药	1.97		仓储物流	-6.59		医药	2.78		
汽车类	4.2		文教休闲	-1.85		日用化工	0.13		日用化工	-4.11		医药	3.88		矿物制品	-1.8		环境保护	1.73		沪深300	-6.78		证券	2.16		
电力	4.18		汽车类	-1.89		农林牧渔	0.08		半导体	-4.16		电器仪表	3.73		通信设备	-1.87		水务	1.58		保险	-7.06		元器件	1.71		
银行	4.15		沪深300	-2.05		证券	0.06		酿酒	-4.17		日用化工	3.61		电气设备	-1.91		传媒娱乐	1.51		水务	-7.15		通信设备	1.51		
有色	4.08		酿酒	-2.44		钢铁	0.04		商贸代理	-4.44		交通设施	3.6		酒店餐饮	-2.16		航空	1.45		工程机械	-7.31		传媒娱乐	0.52		
电信运营	4.04		家用电器	-2.49		电器仪表	-0.06		电器仪表	-4.79		电力	3.47		商贸代理	-2.28		IT设备	1.25		房地产	-7.38		半导体	0.0		
旅游	3.93		电信运营	-2.52		船舶	-0.18		证券	-4.87		供气供热	3.44		日用化工	-2.31		旅游	1.03		电器仪表	-7.43		旅游	-0.23		
医药	3.86		公共交通	-2.82		酿酒	-0.19		建筑	-4.95		传媒娱乐	2.9		仓储物流	-2.41		软件服务	0.98		软件服务	-8.31		航空	-0.42		
石油	3.53		矿物制品	-2.85		银行	-0.34		传媒娱乐	-5.16		IT设备	2.65		运输服务	-2.44		半导体	0.87		IT设备	-8.38		医疗保健	-0.62		
交通设施	3.32		互联网	-2.9		房地产	-0.42		仓储物流	-5.17		医疗保健	2.44		环境保护	-2.48		公共交通	0.65		家用电器	-8.5		有色	-1.96		
IT设备	3.28		船舶	-2.93		运输服务	-0.45		综合类	-5.29		广告包装	2.29		IT设备	-2.52		综合类	0.52		建筑	-9.25		软件服务	-2.06		
半导体	3.27		运输服务	-3.02		仓储物流	-0.9		环境保护	-6.32		家用电器	2.26		电信运营	-2.53		通信设备	0.38		有色	-9.38		仓储物流	-2.64		
文教休闲	3.22		证券	-3.04		电信运营	-0.91		船舶	-6.43		互联网	1.91		工程机械	-2.67		家居用品	-0.21		医疗保健	-9.87		电器仪表	-3.14		
酿酒	2.7		多元金融	-3.11		互联网	-0.96		有色	-6.61		旅游	1.65		水务	-3.02		仓储物流	-0.34		互联网	-10.22		公共交通	-3.56		
运输服务	2.68		煤炭	-3.83		食品饮料	-1.41		水务	-7.04		银行	1.34		运输设备	-3.72		元器件	-0.58		证券	-10.42		矿物制品	-4.64		
家用电器	2.55		有色	-3.89		商贸代理	-1.42		航空	-7.41		保险	1.03		建筑	-4.67		酒店餐饮	-1.78		煤炭	-11.04		互联网	-7.46		
日用化工	2.47		房地产	-4.52		公共交通	-2.54		公共交通	-7.74		房地产	-0.06		船舶	-4.89		矿物制品	-4.27		运输设备	-12.98		IT设备	-7.56		
