180706-180724	+		180724-180820	-		180820-180904	+		180904-180913	-		180913-180926	+		180926-181019	-		180706-181019	#2		
环境保护	5.35	m	仓储物流	-11.69	m	化工	0.03	m	运输服务	-3.91	m	多元金融	1.99	m	仓储物流	-14.59	m	文教休闲	-18.15	m	
煤炭	4.82	m	商业连锁	-11.86	m	运输服务	-0.01	m	工程机械	-3.97	m	家居用品	1.92	m	有色	-14.65	m	多元金融	-19.17	m	
广告包装	4.81	m	有色	-12.08	m	文教休闲	-0.13	m	化工	-4.0	m	电力	1.79	m	日用化工	-14.82	m	纺织服饰	-19.69	m	
纺织服饰	4.63	m	航空	-12.1	m	半导体	-0.13	m	IT设备	-4.07	m	半导体	1.7	m	通信设备	-15.14	m	有色	-20.26	m	
酒店餐饮	4.57	m	医药	-12.29	m	通用机械	-0.3	m	软件服务	-4.41	m	广告包装	1.45	m	半导体	-15.69	m	矿物制品	-20.42	m	
医疗保健	3.95	m	传媒娱乐	-12.39	m	仓储物流	-0.67	m	化纤	-4.72	m	互联网	1.39	m	工业机械	-15.73	m	医药	-21.19	m	
造纸	3.76	m	矿物制品	-12.78	m	建筑	-0.79	m	造纸	-4.76	m	综合类	1.27	m	通用机械	-15.82	m	通用机械	-21.66	m	
家居用品	3.41	m	通用机械	-12.89	m	供气供热	-0.82	m	元器件	-4.87	m	工业机械	1.21	m	酒店餐饮	-15.9	m	互联网	-21.77	m	
汽车类	3.33	mm	旅游	-12.92	mm	有色	-0.96	mm	医疗保健	-5.1	mm	纺织服饰	1.04	mm	文教休闲	-16.08	mm	传媒娱乐	-22.26	mm	
食品饮料	3.21	mm	环境保护	-13.09	mm	矿物制品	-1.01	mm	医药	-5.34	mm	环境保护	0.89	mm	造纸	-16.25	mm	医疗保健	-22.71	mm	
综合类	3.14	mm	电器仪表	-13.22	mm	酒店餐饮	-1.18	mm	互联网	-5.67	mm	船舶	0.46	mm	化纤	-16.73	mm	造纸	-23.17	mm	
家用电器	3.01	mm	半导体	-13.95	mm	家居用品	-1.24	mm	钢铁	-6.0	mm	造纸	0.41	mm	电器仪表	-17.08	mm	电器仪表	-24.05	mm	
石油	2.77	mm	家用电器	-14.43	mm	环境保护	-1.35	mm	日用化工	-6.05	mm	电信运营	0.33	mm	商贸代理	-17.25	mm	综合类	-25.51	mm	
互联网	2.68	mm	家居用品	-14.84	mm	电信运营	-2.44	mm	酿酒	-6.23	mm	元器件	0.2	mm	旅游	-17.35	mm	半导体	-26.35	mm	
医药	1.79	mm	日用化工	-15.28	mm	多元金融	-2.54	mm	家居用品	-6.28	mm	软件服务	-0.55	mm	家居用品	-17.37	mm	酒店餐饮	-27.52	mm	
传媒娱乐	1.43	mm	酿酒	-16.07	mm	综合类	-2.71	mm	半导体	-7.02	mm	通信设备	-0.59	mm	矿物制品	-17.4	mm	环境保护	-28.23	mm	
多元金融	1.28	mm	医疗保健	-16.43	mm	钢铁	-4.15	mm	建材	-8.02	mm	IT设备	-0.91	mm	综合类	-17.94	mm	日用化工	-29.68	mm	
运输服务	0.76	mm	酒店餐饮	-18.9	mm	日用化工	-5.44	mm	电器仪表	-8.74	mm	航空	-2.33	mm	环境保护	-19.05	mm	家居用品	-31.36	mm	
