150609-150709	-		150709-150724	+		150724-150803	-		150803-150814	+		150814-150826	-		130625-150609	#1		150609-150826	#2		
供气供热	-38.82	m	供气供热	16.65	m	造纸	-13.3	m	食品饮料	11.48	m	电气设备	-28.93	m	工程机械	213.93	m	日用化工	-44.73	m	
农林牧渔	-39.11	m	电力	16.18	m	工业机械	-13.32	m	仓储物流	11.32	m	汽车类	-29.27	m	化工	213.87	m	航空	-45.08	m	
运输设备	-39.73	m	造纸	15.28	m	文教休闲	-13.37	m	环境保护	11.17	m	工业机械	-29.27	m	家用电器	211.67	m	医疗保健	-45.25	m	
电气设备	-40.24	m	电器仪表	14.31	m	电信运营	-13.9	m	交通设施	11.16	m	化纤	-29.97	m	汽车类	199.99	m	元器件	-45.43	m	
化纤	-40.59	m	家居用品	13.37	m	化纤	-14.09	m	多元金融	10.65	m	元器件	-30.16	m	建材	194.51	m	电信运营	-45.68	m	
多元金融	-40.82	m	日用化工	12.63	m	电气设备	-14.11	m	广告包装	10.44	m	通信设备	-30.27	m	元器件	192.5	m	通信设备	-46.99	m	
互联网	-40.87	m	汽车类	12.14	m	半导体	-14.2	m	互联网	10.29	m	半导体	-30.81	m	造纸	190.42	m	供气供热	-47.32	m	
综合类	-40.87	m	家用电器	12.07	m	互联网	-14.4	m	运输服务	10.23	m	矿物制品	-30.86	m	保险	168.47	m	船舶	-47.33	m	
环境保护	-40.96	m	建筑	11.98	m	元器件	-14.89	m	钢铁	9.95	m	软件服务	-31.09	m	环境保护	165.28	m	建筑	-48.03	m	
半导体	-41.25	m	互联网	11.17	m	运输设备	-14.96	m	医药	9.06	m	旅游	-31.19	m	医药	161.73	m	化纤	-48.49	m	
通用机械	-41.4	mm	钢铁	9.96	m	日用化工	-15.13	mm	电器仪表	8.56	m	工程机械	-31.97	mm	供气供热	159.26	m	煤炭	-48.62	mm	
通信设备	-41.93	mm	电信运营	9.52	m	商贸代理	-15.26	mm	运输设备	8.47	m	运输设备	-32.94	mm	水务	154.48	m	电气设备	-48.96	mm	
有色	-42.78	mm	煤炭	9.45	m	船舶	-15.28	mm	家居用品	8.42	m	公共交通	-33.03	mm	食品饮料	151.8	m	有色	-49.55	mm	
软件服务	-42.81	mm	沪深300	7.15	0	航空	-15.53	mm	家用电器	8.13	m	建筑	-33.11	mm	有色	148.13	m	公共交通	-53.24	mm	
航空	-46.07	mm	运输设备	7.09	mm	矿物制品	-16.92	mm	沪深300	6.38	0	水务	-33.13	mm	沪深300	145.56	0	工程机械	-53.5	mm	
商贸代理	-46.56	mm	石油	5.62	mm	医疗保健	-16.96	mm	证券	5.91	mm	煤炭	-33.31	mm	银行	101.7	mm	软件服务	-54.8	mm	
工程机械	-47.66	mm	酿酒	4.77	mm	通信设备	-17.3	mm	石油	5.23	mm	互联网	-34.44	mm	石油	98.72	mm	矿物制品	-56.13	mm	
船舶	-50.3	mm	证券	-1.96	mm	公共交通	-19.88	mm	酿酒	2.84	mm	航空	-35.85	mm	日用化工	93.66	mm	证券	-57.56	mm	
矿物制品	-52.17	mm	保险	-7.6	mm	软件服务	-20.15	mm	保险	-0.93	mm	证券	-36.36	mm	煤炭	87.89	mm	互联网	-59.32	mm	
公共交通	-55.3	mm	银行	-7.87	mm	石油	-20.75	mm	银行	-1.94	mm	船舶	-37.49	mm	酿酒	66.91	mm	运输设备	-60.07	mm	
